id,provincia,cantmiem,cantping,reldep,ingtoth,ingpch,gastot,gastotpc,gc_01,gc_02,gc_03,gc_04,gc_05,gc_06,gc_07,gc_08,gc_09,gc_10,gc_11,gc_12
49128686,2,2,2,1.0,22666.6666666667,11333.3333333333,34233.6,17116.8,7703.07,1104.15,5550.0,3354.0,1438.9,400.0,5803.13,1169.0,3772.0,0.0,2792.85,1146.5
211569425,2,4,2,2.0,38000.0,9500.0,37073.35,9268.3375,4949.19,411.35,3800.0,8650.0,2560.0,1500.0,2946.86,2750.0,2772.0,0.0,5825.7,908.25
209401508,2,3,3,1.0,37071.5,12357.1666666667,31317.3568,10439.1189333333,4155.1979,1255.7,2250.0,9900.0,2415.63,73.61,945.0225,2870.0,560.0,0.0,2381.5,4510.6964
504779445,2,6,2,3.0,24200.0,4033.33333333333,36682.677,6113.77950000001,11946.037,3637.2,4600.0,5275.1,433.0,1320.65,2326.49,2500.0,1000.0,80.0,1320.65,2243.55
293968564,2,4,2,2.0,18494.13,4623.5325,20080.29,5020.0725,3619.88,6460.36,0.0,2871.05,60.0,0.0,736.1,1320.0,0.0,0.0,4892.9,120.0
667693528,2,1,1,1.0,8208.33333333333,8208.33333333333,9646.9645,9646.9645,1861.5103,0.0,0.0,5301.0,410.4367,735.0175,0.0,379.0,960.0,0.0,0.0,0.0
595480785,2,3,2,1.5,51853.6666666667,17284.5555555556,48298.1999,16099.3999666667,11059.8592,281.45,800.0,12912.0,953.6444,207.6235,2815.905,3810.0,980.0,0.0,2563.793,11913.9248
573971058,2,4,4,1.0,78677.6166666667,19669.4041666667,35668.275,8917.06875,12990.0,818.37,4700.0,1494.5,2289.96,0.0,2370.795,2425.0,1848.2,0.0,2186.65,4544.8
333200838,2,1,1,1.0,18616.6666666667,18616.6666666667,15632.3323,15632.3323,3636.8969,0.0,250.0,7125.575,990.0,0.0,319.3375,280.0,230.0,0.0,1402.92,1397.6029
24543705,2,3,2,1.5,27935.6633333333,9311.88777777778,20958.7853,6986.26176666667,3435.4653,842.185,1540.0,7816.91,963.33,580.22,1006.725,1949.9,494.1,0.0,2013.45,316.5
